Target,Distance,Ftotal,Fstar,Filename,ObsIDs,Lstar,uLstar,Tdust,uTdust,radius,posang,incl
HD22049,3.216,1489,320,HD22049_HPACS70.fits.gz,1342216123,0.335,0.002,34,5,40,0,20
HD23484,13.963,84.66,8.3,HD23484_HPACS70.fits.gz,1342222499,0.409,0.002,55,3,60,60,75
HD216956,7.704,11170,310,HD216956_HPACS70.fits.gz,1342211953,16.6,0.3,69,3,200,120,60
HD30495,13.241,123.8,21.1,HD30495_HPACS70.fits.gz,1342238836,0.964,0.006,59,6,30,0,30
HD105,38.846,160.3,2.9,HD105_HPACS100.fits.gz,1342188367,1.268,0.008,48,2,100,15,60
HD170773,37.055,793.6,10,HD170773_HPACS70.fits.gz,1342241398,3.57,0.02,40,3,170,90,0
HD105211,19.755,687.6,52,HD105211_HPACS70.fits.gz,1342262373,6.7,0.07,44.5,0.8,160,150,70
HD17848,51.715,176.4,35,HD17848_HPACS70.fits.gz,1342225120,18.4,0.3,54,3,120,30,60
HD107146,27.471,785.1,20,HD107146_HPACS70.fits.gz,1342257037,0.996,0.006,48.1,0.6,120,90,0
HD10647,17.344,960.6,17.5,HD10647_HPACS70.fits.gz,1342212838,1.542,0.009,63,4,80,120,75
HD37594,41.889,476.3,6,HD37594_HPACS70.fits.gz,1342252045,5.65,0.04,59,1,150,90,0
HD113337,36.218,180.8,8.5,HD113337_HPACS70.fits.gz,1342243344,4.11,0.03,54.6,0.7,100,135,90
HD9672,57.067,2180,8.5,HD9672_HPACS70.fits.gz,1342224377,15.3,0.5,57,1,180,70,75
HIP30503,268.694,128.6,44,HIP30503_HPACS70.fits.gz,1342265631,1.175,0.005,75,3,1200,20,60
HD11413,78.579,59.09,3,HD11413_HPACS100.fits.gz,1342224383,22.7,0.2,61,4,200,0,40
HD158643,124.378,905.1,13,HD158643_HPACS70.fits.gz,1342205974,170,10,530,50,100,0,0
HD205674,56.403,233.6,5,HD205674_HPACS100.fits.gz,1342270737,3.44,0.04,52,4,120,90,0
HD50571,33.64,194.6,7.8,HD50571_HPACS70.fits.gz,1342233376,3.36,0.02,48.6,0.7,120,50,60
HD32977,61.97,35.38,25,HD32977_HPACS70.fits.gz,1342250326,22.9,0.5,30,20,100,90,90
HD183324,60.678,33.12,10,HD183324_HPACS70.fits.gz,1342243718,14.7,0.3,69,3,120,90,90
HD10700,3.65,314.5,172,HD10700_HPACS70.fits.gz,1342213575,0.483,0.003,110,20,20,0,40
HD139006,23.01,558.3,10,HD139006_HPACS70.fits.gz,1342223846,71,2,124,2,40,20,90
TYC251_1015_1,36.257,76.22,1,TYC251_1015_1_HPACS70.fits.gz,1342233226,-99,-99,-99,-99,80,90,0
TYC2359_1127_1,294.36,547.9,1,TYC2359_1127_1_HPACS70.fits.gz,1342238885,-99,-99,-99,-99,1000,60,90
TYC1852_1694_1,101.347,581.2,6.5,TYC1852_1694_1_HPACS100.fits.gz,1342265501,15.5,0.8,133,2,200,90,60
HD182681,71.422,603.1,5,HD182681_HPACS70.fits.gz,1342231927,29,1,41,4,200,120,60
HIP52462,21.54,300.2,4.3,HIP52462_HPACS70.fits.gz,1342233097,0.368,0.002,33,1,80,70,60
HIP30088,136.221,78.58,16,HIP30088_HPACS70.fits.gz,1342269773,41,3,60,4,50,0,90
HIP41765,93.723,87.24,1.5,HIP41765_HPACS70.fits.gz,1342269787,7.1,0.1,80,4,100,90,90
HD48370,36.072,159,2.5,HD48370_HPACS70.fits.gz,1342269656,0.777,0.006,40,1,120,110,75
HD131835,133.654,706.3,83,HD131835_HPACS70.fits.gz,1342250784,9.6,0.5,68.1,0.7,100,90,85
HD33636,29.657,40.57,4.5,HD33636_HPACS100.fits.gz,1342269272,1.157,0.008,55,2,100,20,60
HD10939,60.967,389.6,7.8,HD10939_HPACS70.fits.gz,1342225326,34.7,0.8,57.8,0.7,140,0,0
HD21997,69.643,693.9,2.6,HD21997_HPACS70.fits.gz,1342237454,10.8,0.1,57,3,150,0,90
HD95086,86.442,608.7,7.5,HD95086_HPACS70.fits.gz,1342225005,6.6,0.2,60,2,150,0,90
HD161868,31.516,1236,280,HD161868_HPACS70.fits.gz,1342231117,27,1,44,2,180,115,70
HD195627,28.294,626.1,18.5,HD195627_HPACS70.fits.gz,1342232492,7.9,0.1,46,2,150,90,60
HD61005,36.486,706.3,35,HD61005_HPACS70.fits.gz,1342270977,0.633,0.004,51,2,120,130,70
HD30422,57.471,57.76,14,HD30422_HPACS70.fits.gz,1342250834,8.46,0.05,50,10,100,90,90
HD31295,35.663,382.9,15,HD31295_HPACS100.fits.gz,1342241872,14.6,0.6,62,1,150,90,50
HD127821,31.712,355.5,8,HD127821_HPACS70.fits.gz,1342243346,2.94,0.02,42,3,150,150,80
HD206893,40.806,288.6,4.5,HD206893_HPACS70.fits.gz,1342270782,2.86,0.02,47.5,0.9,100,135,0
HD15115,49.004,463,15,HD15115_HPACS70.fits.gz,1342249174,3.6,0.1,52,2,100,90,110
HD202628,23.831,119.9,6.5,HD202628_HPACS70.fits.gz,1342242647,0.984,0.006,47,5,120,60,60
HD31392,25.765,77.56,2,HD31392_HPACS100.fits.gz,1342270959,0.565,0.004,41,9,120,135,60
HD54341,101.167,275.6,10,HD54341_HPACS100.fits.gz,1342270967,24,2,58,1,150,90,90
HIP10054,258.987,172.5,7,HIP10054_HPACS100.fits.gz,1342268968,15.2,0.2,50,4,100,0,70
HIP30252,524.521,251,1.5,HIP30252_HPACS100.fits.gz,1342270965,7.9,0.2,80,1,100,90,90
V401Hya,24.342,156,3,V401Hya_HPACS100.fits.gz,1342270989,1.004,0.005,47.8,0.8,100,90,60
HD125162,30.358,379.3,20,HD125162_HPACS70.fits.gz,1342221869,17.5,1,94,3,80,120,60
HD188228,32.216,67.48,18,HD188228_HPACS70.fits.gz,1342204276,30.4,1,81,4,100,135,90
HD20320,35.288,97.84,16.5,HD20320_HPACS70.fits.gz,1342227302,11.7,0.2,70,2,100,90,60
HD14055,34.435,848.7,20,HD14055_HPACS70.fits.gz,1342237466,28,1,76.6,0.9,150,15,75
HD110411,38.163,260,20,HD110411_HPACS70.fits.gz,1342222452,15,0.3,77,2,120,90,90
HD13161,38.895,693.4,70,HD13161_HPACS70.fits.gz,1342237390,72,2,101,2,200,135,60
HD165908,15.642,108.2,30,HD165908_HPACS70.fits.gz,1342220825,2.88,0.07,45,4,100,90,30
HD27290,20.451,192.2,30,HD27290_HPACS70.fits.gz,1342220766,6.59,0.1,50,5,80,160,60
HD11171,23.186,55.26,21,HD11171_HPACS70.fits.gz,1342222612,5.8,0.1,70,10,100,135,90
HD115617,8.555,219.1,48,HD115617_HPACS70.fits.gz,1342223608,0.829,0.005,58,3,50,120,90
GJ14,14.698,17.49,6,GJ14_HPACS70.fits.gz,1342222426,0.111,0.0007,30,6,30,90,0
HD166,13.779,65,14.5,HD166_HPACS70.fits.gz,1342237370,0.467,0.0003,43,4,40,0,0
HD17925,10.358,71.09,20.7,HD17925_HPACS70.fits.gz,1342237404,0.399,0.0003,99,6,50,90,90
HD19994,22.538,43.32,8.6,HIP14954_HPACS100.fits.gz,1342216129,4.06,0.04,34,8,60,105,70
HD48682,16.648,307.5,22.3,HD48682_HPACS70.fits.gz,1342219021,1.86,0.01,46.1,1,120,70,70
HD90089,22.73,53.36,16.6,HD90089_HPACS100.fits.gz,1342197013,3.32,0.04,31,2,100,90,90
HD110897,17.565,74.84,13.5,HD110897_HPACS70.fits.gz,1342237972,1.117,0.007,51,4,80,70,60
HD131511,11.51,30.87,21.5,HD131511_HPACS70.fits.gz,1342237142,0.517,0.006,50,10,30,90,90
HD158633,12.793,36.15,12.8,HD158633_HPACS100.fits.gz,1342220099,0.417,0.002,59,3,50,90,0
HD207129,15.561,316.1,18.4,HD207129_HPACS70.fits.gz,1342193163,1.219,0.006,37,2,140,60,65
HIP77441,113.754,210.7,1,HIP77441_HPACS70.fits.gz,1342238767,5.55,0.08,39,1,200,90,0
HD197481,9.725,236.9,47,HD197481_HPACS70.fits.gz,1342196038,0.0957,0.0007,50,4,40,50,75
HD192758,66.529,364.2,6,HD192758_HPACS100.fits.gz,1342243053,5.43,0.06,54,3,200,140,30
HD191089,50.135,422.6,1.5,HD191089_HPACS100.fits.gz,1342243057,2.74,0.02,93.3,0.7,120,90,0
HD131488,154.617,328,6,HD131488_HPACS100.fits.gz,1342225304,13,0.9,90,9,60,0,0
