#Target , Distance , uD plus, uD minus, Luminosity, uL plus, uL minus, \lambda_{obs} , f_{\rm obs} , uf_obs plus/minus, f_{\star}, f_{\rm disc} , uf_{\rm disc} plus, f_{\rm disc} minus, R_{\rm disc} , uR plus, uR minus, \Delta R_{\rm disc} , u\Delta R plus, u\Delta R minus,   \phi , u\phi plus, u\phi minus,  \theta, u\theta plus, u\theta minus 
#       , (pc), (pc), (pc), (L_{\odot}), (L_{\odot}), (L_{\odot}), (\mum)   , (mJy) , (mJy), (mJy) , (mJy), (mJy), (mJy), (au) ,(au) ,(au) ,(au) ,(au) ,(au) , (\degr), (\degr), (\degr), (\degr), (\degr), (\degr)
GJ581 , 6.299,+0.002,-0.002 , 0.012,+0.000,-0.000 , 70 , 15,1 , 7 , 13,+1,-1 , 25.3,+3.9,-4.1 , 18.6,+3.1,-7.7 , 147.9,+7.1,-8.1 , 63.0,+7.1,-14.7 
HIP63882 , 24.691,+3.710,-2.853 , 0.049,+0.018,-0.010 , 70 , 27,1 , 2 , 27,+1,-1 , 59.5,+9.2,-8.0 , 34.3,+13.9,-15.9 , 55.8,+9.9,-8.1 , 70.5,+8.1,-8.5 
HD197481 , 9.725,+0.005,-0.005 , 0.096,+0.001,-0.001 , 70 , 237,8 , 47 , 186,+2,-2 , 32.8,+2.3,-1.3 , 25.2,+1.8,-13.9 , 141.3,+0.9,-1.6 , 80.3,+2.2,-10.5 
GJ14 , 14.698,+0.012,-0.012 , 0.111,+0.001,-0.001 , 70 , 17,3 , 6 , 13,+2,-2 , 54.5,+6.4,-12.4 , 37.2,+8.6,-15.9 , 106.0,+16.4,-8.2 , 70.4,+12.1,-21.4 
HD128311 , 16.337,+0.020,-0.020 , 0.288,+0.002,-0.002 , 70 , 25,3 , 8 , 11,+1,-1 , 50.0,+5.7,-5.6 , 30.2,+10.8,-15.4 , 88.0,+10.9,-6.1 , 70.3,+5.4,-7.4 
HD192263 , 19.647,+0.022,-0.022 , 0.305,+0.002,-0.002 , 70 , 30,2 , 5 , 20,+1,-1 , 85.7,+4.6,-1.5 , 15.6,+8.2,-6.3 , 5.3,+3.8,-14.9 , 58.3,+3.5,-6.3 
HD22049 , 3.203,+0.005,-0.005 , 0.333,+0.002,-0.002 , 70 , 1489,84 , 320 , 727,+3,-11 , 16.6,+0.4,-0.3 , 14.9,+0.0,-1.7 , 97.9,+19.9,-1.6 , 32.9,+0.6,-7.9 
TYC251_1015_1 , 36.257,+0.077,-0.077 , 0.353,+0.008,-0.009 , 70 , 60,2 , 1 , 65,+1,-2 , 69.7,+7.7,-7.8 , 35.4,+13.3,-13.0 , 158.5,+14.9,-34.6 , 36.3,+9.0,-12.6 
HIP52462 , 21.540,+0.020,-0.020 , 0.368,+0.002,-0.003 , 70 , 300,10 , 4 , 262,+2,-2 , 67.2,+2.9,-2.6 , 40.2,+12.7,-11.0 , 169.0,+0.7,-0.7 , 66.4,+1.1,-11.4 
HD23484 , 16.169,+0.006,-0.006 , 0.409,+0.002,-0.003 , 70 , 85,5 , 8 , 68,+2,-3 , 49.3,+4.0,-2.1 , 39.4,+4.1,-18.3 , 160.7,+3.6,-8.6 , 56.7,+4.7,-3.3 
HD158633 , 12.793,+0.004,-0.004 , 0.417,+0.002,-0.002 , 100 , 36,3 , 13 , 38,+3,-5 , 33.3,+6.6,-2.8 , 25.1,+3.3,-6.5 , 16.1,+6.1,-55.0 , 27.6,+8.5,-12.3 
HD166 , 13.779,+0.009,-0.009 , 0.467,+0.003,-0.003 , 70 , 97,8 , 14 , 81,+2,-2 , 27.3,+3.4,-2.8 , 13.5,+5.1,-3.2 , 154.4,+21.7,-31.4 , 32.2,+11.7,-13.4 
HD10700 , 3.603,+0.007,-0.007 , 0.483,+0.004,-0.003 , 70 , 314,18 , 172 , 72,+3,-11 , 6.4,+0.7,-1.1 , 4.4,+0.6,-0.9 , 140.2,+12.1,-3.0 , 26.4,+13.1,-15.8 
HD31392 , 25.765,+0.020,-0.020 , 0.565,+0.005,-0.004 , 100 , 78,15 , 2 , 136,+5,-7 , 126.4,+3.6,-6.9 , 103.8,+7.6,-24.4 , 43.7,+3.9,-2.9 , 68.5,+4.0,-6.7 
HIP33690 , 18.360,+0.008,-0.008 , 0.586,+0.004,-0.004 , 70 , 219,7 , 8 , 186,+2,-3 , 53.5,+2.6,-3.5 , 38.5,+3.0,-27.4 , 123.2,+14.2,-1.1 , 62.3,+1.5,-14.8 
HD61005 , 36.486,+0.043,-0.043 , 0.633,+0.004,-0.004 , 70 , 706,22 , 35 , 648,+5,-2 , 65.5,+6.6,-1.6 , 32.2,+2.1,-8.8 , 69.9,+0.6,-1.6 , 71.6,+1.8,-18.7 
